rmse,lr_bu,lr_bi,lr_pu,lr_qi,reg_bu,reg_bi,reg_pu,reg_qi
1.002179522184539,0.005,0.005,0.005,0.001,0.05,0.05,0.05,0.05
1.0021981722242548,0.005,0.005,0.001,0.005,0.005,0.05,0.02,0.05
1.0022069988508968,0.005,0.005,0.001,0.005,0.02,0.05,0.02,0.05
1.0022151209688652,0.01,0.01,0.001,0.01,0.05,0.05,0.05,0.05
1.002228010388525,0.005,0.005,0.001,0.001,0.02,0.02,0.005,0.005
1.0023482538741164,0.005,0.005,0.001,0.005,0.005,0.02,0.02,0.05
1.0023620217569966,0.01,0.01,0.005,0.01,0.02,0.05,0.05,0.05
1.002364421967159,0.005,0.01,0.01,0.001,0.05,0.05,0.05,0.05
1.0023835799337861,0.005,0.01,0.005,0.005,0.005,0.005,0.05,0.05
1.002386504725334,0.01,0.01,0.005,0.01,0.05,0.05,0.05,0.05
1.0023910508969085,0.005,0.005,0.001,0.001,0.02,0.05,0.02,0.02
1.0024205493049045,0.005,0.005,0.001,0.001,0.005,0.05,0.02,0.05
1.0024268774374594,0.005,0.005,0.005,0.001,0.02,0.02,0.05,0.02
1.0024367963901204,0.005,0.005,0.001,0.005,0.005,0.05,0.05,0.05
1.0024794771530627,0.005,0.01,0.005,0.001,0.005,0.005,0.05,0.05
1.0025103864035754,0.01,0.01,0.01,0.001,0.05,0.02,0.05,0.05
1.0025110595247952,0.005,0.005,0.001,0.001,0.005,0.05,0.005,0.02
1.0025118161692694,0.005,0.01,0.001,0.005,0.02,0.005,0.05,0.05
1.0025160760909924,0.005,0.005,0.001,0.005,0.005,0.02,0.05,0.05
1.0025446303131005,0.005,0.005,0.001,0.001,0.02,0.005,0.02,0.02
1.0025463076030978,0.01,0.01,0.01,0.001,0.02,0.005,0.05,0.005
1.0025501001422013,0.005,0.01,0.001,0.005,0.02,0.02,0.02,0.05
1.002550215444291,0.005,0.005,0.001,0.001,0.02,0.05,0.02,0.05
1.002562209605296,0.005,0.005,0.005,0.001,0.005,0.05,0.05,0.05
1.0025852557465513,0.005,0.01,0.001,0.005,0.005,0.05,0.05,0.05
1.0026020239090654,0.01,0.01,0.005,0.01,0.02,0.005,0.05,0.05
1.0026021692183347,0.01,0.01,0.005,0.005,0.05,0.05,0.05,0.05
1.0026033129588745,0.005,0.005,0.001,0.001,0.005,0.05,0.05,0.005
